1 BASIC SELECT
RaphaelyPU_MAN                                                                  
RogersST_CLERK                                                                  
RussellSA_MAN                                                                   
SarchandSH_CLERK                                                                
SciarraFI_ACCOUNT                                                               
SeoST_CLERK                                                                     

Employee and Title                                                              
-----------------------------------                                             
SewallSA_REP                                                                    
SmithSA_REP                                                                     
SmithSA_REP                                                                     
StilesST_CLERK                                                                  
SullivanSH_CLERK                                                                
SullySA_REP                                                                     
TaylorSA_REP                                                                    
TaylorSH_CLERK                                                                  
TobiasPU_CLERK                                                                  
TuckerSA_REP                                                                    
TuvaultSA_REP                                                                   

Employee and Title                                                              
-----------------------------------                                             
UrmanFI_ACCOUNT                                                                 
VargasST_CLERK                                                                  
VishneySA_REP                                                                   
VollmanST_MAN                                                                   
WalshSH_CLERK                                                                   
WeissST_MAN                                                                     
WhalenAD_ASST                                                                   
ZlotkeySA_MAN                                                                   

107 rows selected.
----------------------------------------------------------
2 WHERE AND ORDER BY
----------------------------------------------------------
SQL> select last_name, department_id
  2   from employees
  3  where employee_id=176;

LAST_NAME                 DEPARTMENT_ID                                         
------------------------- -------------                                         
Taylor                               80                                         

SQL> select last_name,salary
  2    from employees
  3  where salary>5000 and salary<12000;

LAST_NAME                     SALARY                                            
------------------------- ----------                                            
Hunold                          9000                                            
Ernst                           6000                                            
Faviet                          9000                                            
Chen                            8200                                            
Sciarra                         7700                                            
Urman                           7800                                            
Popp                            6900                                            
Raphaely                       11000                                            
Weiss                           8000                                            
Fripp                           8200                                            
Kaufling                        7900                                            

LAST_NAME                     SALARY                                            
------------------------- ----------                                            
Vollman                         6500                                            
Mourgos                         5800                                            
Cambrault                      11000                                            
Zlotkey                        10500                                            
Tucker                         10000                                            
Bernstein                       9500                                            
Hall                            9000                                            
Olsen                           8000                                            
Cambrault                       7500                                            
Tuvault                         7000                                            
King                           10000                                            

LAST_NAME                     SALARY                                            
------------------------- ----------                                            
Sully                           9500                                            
McEwen                          9000                                            
Smith                           8000                                            
Doran                           7500                                            
Sewall                          7000                                            
Vishney                        10500                                            
Greene                          9500                                            
Marvins                         7200                                            
Lee                             6800                                            
Ande                            6400                                            
Banda                           6200                                            

LAST_NAME                     SALARY                                            
------------------------- ----------                                            
Ozer                           11500                                            
Bloom                          10000                                            
Fox                             9600                                            
Smith                           7400                                            
Bates                           7300                                            
Kumar                           6100                                            
Abel                           11000                                            
Hutton                          8800                                            
Taylor                          8600                                            
Livingston                      8400                                            
Grant                           7000                                            

LAST_NAME                     SALARY                                            
------------------------- ----------                                            
Johnson                         6200                                            
Fay                             6000                                            
Mavris                          6500                                            
Baer                           10000                                            
Gietz                           8300                                            

49 rows selected.

SQL> select last_name,job_id,hire_date
  2   from employees
  3   where lower(last_name)='Matos' and lower(last_name)='Taylor'
  4  order by hire_date asc;

no rows selected

SQL> select last_name,department_id
  2    from employees
  3  where department_id=20 or department_id=50
  4  order by last_name asc;

LAST_NAME                 DEPARTMENT_ID                                         
------------------------- -------------                                         
Atkinson                             50                                         
Bell                                 50                                         
Bissot                               50                                         
Bull                                 50                                         
Cabrio                               50                                         
Chung                                50                                         
Davies                               50                                         
Dellinger                            50                                         
Dilly                                50                                         
Everett                              50                                         
Fay                                  20                                         

LAST_NAME                 DEPARTMENT_ID                                         
------------------------- -------------                                         
Feeney                               50                                         
Fleaur                               50                                         
Fripp                                50                                         
Gates                                50                                         
Gee                                  50                                         
Geoni                                50                                         
Grant                                50                                         
Hartstein                            20                                         
Jones                                50                                         
Kaufling                             50                                         
Ladwig                               50                                         

LAST_NAME                 DEPARTMENT_ID                                         
------------------------- -------------                                         
Landry                               50                                         
Mallin                               50                                         
Markle                               50                                         
Marlow                               50                                         
Matos                                50                                         
McCain                               50                                         
Mikkilineni                          50                                         
Mourgos                              50                                         
Nayer                                50                                         
OConnell                             50                                         
Olson                                50                                         

LAST_NAME                 DEPARTMENT_ID                                         
------------------------- -------------                                         
Patel                                50                                         
Perkins                              50                                         
Philtanker                           50                                         
Rajs                                 50                                         
Rogers                               50                                         
Sarchand                             50                                         
Seo                                  50                                         
Stiles                               50                                         
Sullivan                             50                                         
Taylor                               50                                         
Vargas                               50                                         

LAST_NAME                 DEPARTMENT_ID                                         
------------------------- -------------                                         
Vollman                              50                                         
Walsh                                50                                         
Weiss                                50                                         

47 rows selected.

SQL> select last_name,salary
  2    from employees
  3  where salary NOT BETWEEN 5000 and 12000;

LAST_NAME                     SALARY                                            
------------------------- ----------                                            
King                           24000                                            
Kochhar                        17000                                            
De Haan                        17000                                            
Austin                          4800                                            
Pataballa                       4800                                            
Lorentz                         4200                                            
Greenberg                      12008                                            
Khoo                            3100                                            
Baida                           2900                                            
Tobias                          2800                                            
Himuro                          2600                                            

LAST_NAME                     SALARY                                            
------------------------- ----------                                            
Colmenares                      2500                                            
Nayer                           3200                                            
Mikkilineni                     2700                                            
Landry                          2400                                            
Markle                          2200                                            
Bissot                          3300                                            
Atkinson                        2800                                            
Marlow                          2500                                            
Olson                           2100                                            
Mallin                          3300                                            
Rogers                          2900                                            

LAST_NAME                     SALARY                                            
------------------------- ----------                                            
Gee                             2400                                            
Philtanker                      2200                                            
Ladwig                          3600                                            
Stiles                          3200                                            
Seo                             2700                                            
Patel                           2500                                            
Rajs                            3500                                            
Davies                          3100                                            
Matos                           2600                                            
Vargas                          2500                                            
Russell                        14000                                            

LAST_NAME                     SALARY                                            
------------------------- ----------                                            
Partners                       13500                                            
Taylor                          3200                                            
Fleaur                          3100                                            
Sullivan                        2500                                            
Geoni                           2800                                            
Sarchand                        4200                                            
Bull                            4100                                            
Dellinger                       3400                                            
Cabrio                          3000                                            
Chung                           3800                                            
Dilly                           3600                                            

LAST_NAME                     SALARY                                            
------------------------- ----------                                            
Gates                           2900                                            
Perkins                         2500                                            
Bell                            4000                                            
Everett                         3900                                            
McCain                          3200                                            
Jones                           2800                                            
Walsh                           3100                                            
Feeney                          3000                                            
OConnell                        2600                                            
Grant                           2600                                            
Whalen                          4400                                            

LAST_NAME                     SALARY                                            
------------------------- ----------                                            
Hartstein                      13000                                            
Higgins                        12008                                            

57 rows selected.

SQL> select last_name as "employee",department_id as "monthly_salasry"
  2  from employees
  3  where salary NOT BETWEEN 5000 and 12000
  4  and department_id=20 or department_id=50;

employee                  monthly_salasry                                       
------------------------- ---------------                                       
Weiss                                  50                                       
Fripp                                  50                                       
Kaufling                               50                                       
Vollman                                50                                       
Mourgos                                50                                       
Nayer                                  50                                       
Mikkilineni                            50                                       
Landry                                 50                                       
Markle                                 50                                       
Bissot                                 50                                       
Atkinson                               50                                       

employee                  monthly_salasry                                       
------------------------- ---------------                                       
Marlow                                 50                                       
Olson                                  50                                       
Mallin                                 50                                       
Rogers                                 50                                       
Gee                                    50                                       
Philtanker                             50                                       
Ladwig                                 50                                       
Stiles                                 50                                       
Seo                                    50                                       
Patel                                  50                                       
Rajs                                   50                                       

employee                  monthly_salasry                                       
------------------------- ---------------                                       
Davies                                 50                                       
Matos                                  50                                       
Vargas                                 50                                       
Taylor                                 50                                       
Fleaur                                 50                                       
Sullivan                               50                                       
Geoni                                  50                                       
Sarchand                               50                                       
Bull                                   50                                       
Dellinger                              50                                       
Cabrio                                 50                                       

employee                  monthly_salasry                                       
------------------------- ---------------                                       
Chung                                  50                                       
Dilly                                  50                                       
Gates                                  50                                       
Perkins                                50                                       
Bell                                   50                                       
Everett                                50                                       
McCain                                 50                                       
Jones                                  50                                       
Walsh                                  50                                       
Feeney                                 50                                       
OConnell                               50                                       

employee                  monthly_salasry                                       
------------------------- ---------------                                       
Grant                                  50                                       
Hartstein                              20                                       

46 rows selected.
----------------------------------------------------------------
3 SINGLE MULTI FUNCTIONS
----------------------------------------------------------------


SQL> select sysdate as "Date" from dual;

Date                                                                            
---------                                                                       
26-DEC-19                                                                       

SQL> select employee_id,last_name,salary,trunc((salary*155/1000)+salary) "NEW SALARY" from employees;

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY                     
----------- ------------------------- ---------- ----------                     
        100 King                           24000      27720                     
        101 Kochhar                        17000      19635                     
        102 De Haan                        17000      19635                     
        103 Hunold                          9000      10395                     
        104 Ernst                           6000       6930                     
        105 Austin                          4800       5544                     
        106 Pataballa                       4800       5544                     
        107 Lorentz                         4200       4851                     
        108 Greenberg                      12008      13869                     
        109 Faviet                          9000      10395                     
        110 Chen                            8200       9471                     

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY                     
----------- ------------------------- ---------- ----------                     
        111 Sciarra                         7700       8893                     
        112 Urman                           7800       9009                     
        113 Popp                            6900       7969                     
        114 Raphaely                       11000      12705                     
        115 Khoo                            3100       3580                     
        116 Baida                           2900       3349                     
        117 Tobias                          2800       3234                     
        118 Himuro                          2600       3003                     
        119 Colmenares                      2500       2887                     
        120 Weiss                           8000       9240                     
        121 Fripp                           8200       9471                     

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY                     
----------- ------------------------- ---------- ----------                     
        122 Kaufling                        7900       9124                     
        123 Vollman                         6500       7507                     
        124 Mourgos                         5800       6699                     
        125 Nayer                           3200       3696                     
        126 Mikkilineni                     2700       3118                     
        127 Landry                          2400       2772                     
        128 Markle                          2200       2541                     
        129 Bissot                          3300       3811                     
        130 Atkinson                        2800       3234                     
        131 Marlow                          2500       2887                     
        132 Olson                           2100       2425                     

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY                     
----------- ------------------------- ---------- ----------                     
        133 Mallin                          3300       3811                     
        134 Rogers                          2900       3349                     
        135 Gee                             2400       2772                     
        136 Philtanker                      2200       2541                     
        137 Ladwig                          3600       4158                     
        138 Stiles                          3200       3696                     
        139 Seo                             2700       3118                     
        140 Patel                           2500       2887                     
        141 Rajs                            3500       4042                     
        142 Davies                          3100       3580                     
        143 Matos                           2600       3003                     

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY                     
----------- ------------------------- ---------- ----------                     
        144 Vargas                          2500       2887                     
        145 Russell                        14000      16170                     
        146 Partners                       13500      15592                     
        147 Errazuriz                      12000      13860                     
        148 Cambrault                      11000      12705                     
        149 Zlotkey                        10500      12127                     
        150 Tucker                         10000      11550                     
        151 Bernstein                       9500      10972                     
        152 Hall                            9000      10395                     
        153 Olsen                           8000       9240                     
        154 Cambrault                       7500       8662                     

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY                     
----------- ------------------------- ---------- ----------                     
        155 Tuvault                         7000       8085                     
        156 King                           10000      11550                     
        157 Sully                           9500      10972                     
        158 McEwen                          9000      10395                     
        159 Smith                           8000       9240                     
        160 Doran                           7500       8662                     
        161 Sewall                          7000       8085                     
        162 Vishney                        10500      12127                     
        163 Greene                          9500      10972                     
        164 Marvins                         7200       8316                     
        165 Lee                             6800       7854                     

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY                     
----------- ------------------------- ---------- ----------                     
        166 Ande                            6400       7392                     
        167 Banda                           6200       7161                     
        168 Ozer                           11500      13282                     
        169 Bloom                          10000      11550                     
        170 Fox                             9600      11088                     
        171 Smith                           7400       8547                     
        172 Bates                           7300       8431                     
        173 Kumar                           6100       7045                     
        174 Abel                           11000      12705                     
        175 Hutton                          8800      10164                     
        176 Taylor                          8600       9933                     

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY                     
----------- ------------------------- ---------- ----------                     
        177 Livingston                      8400       9702                     
        178 Grant                           7000       8085                     
        179 Johnson                         6200       7161                     
        180 Taylor                          3200       3696                     
        181 Fleaur                          3100       3580                     
        182 Sullivan                        2500       2887                     
        183 Geoni                           2800       3234                     
        184 Sarchand                        4200       4851                     
        185 Bull                            4100       4735                     
        186 Dellinger                       3400       3927                     
        187 Cabrio                          3000       3465                     

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY                     
----------- ------------------------- ---------- ----------                     
        188 Chung                           3800       4389                     
        189 Dilly                           3600       4158                     
        190 Gates                           2900       3349                     
        191 Perkins                         2500       2887                     
        192 Bell                            4000       4620                     
        193 Everett                         3900       4504                     
        194 McCain                          3200       3696                     
        195 Jones                           2800       3234                     
        196 Walsh                           3100       3580                     
        197 Feeney                          3000       3465                     
        198 OConnell                        2600       3003                     

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY                     
----------- ------------------------- ---------- ----------                     
        199 Grant                           2600       3003                     
        200 Whalen                          4400       5082                     
        201 Hartstein                      13000      15015                     
        202 Fay                             6000       6930                     
        203 Mavris                          6500       7507                     
        204 Baer                           10000      11550                     
        205 Higgins                        12008      13869                     
        206 Gietz                           8300       9586                     

107 rows selected.

SQL> select employee_id,last_name,salary,trunc((salary*155/1000)+salary) "NEW SALARY", Trunc(((salary*(155/1000))+salary)-salary) as "Increase
  2  from employees;
ERROR:
ORA-01740: missing double quote in identifier 


SQL> ed
Wrote file afiedt.buf

  1  select employee_id,last_name,salary,trunc((salary*155/1000)+salary) "NEW SALARY", Trunc(((salary*(155/1000))+salary)-salary) as "Increase"
  2* from employees;
SQL> /
from employees;
              *
ERROR at line 2:
ORA-00911: invalid character 


SQL> select employee_id,last_name,salary,trunc((salary*155/1000)+salary) "NEW SALARY", Trunc(((salary*(155/1000))+salary)-salary) as "Increase"
  2  from employees;

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY   Increase          
----------- ------------------------- ---------- ---------- ----------          
        100 King                           24000      27720       3720          
        101 Kochhar                        17000      19635       2635          
        102 De Haan                        17000      19635       2635          
        103 Hunold                          9000      10395       1395          
        104 Ernst                           6000       6930        930          
        105 Austin                          4800       5544        744          
        106 Pataballa                       4800       5544        744          
        107 Lorentz                         4200       4851        651          
        108 Greenberg                      12008      13869       1861          
        109 Faviet                          9000      10395       1395          
        110 Chen                            8200       9471       1271          

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY   Increase          
----------- ------------------------- ---------- ---------- ----------          
        111 Sciarra                         7700       8893       1193          
        112 Urman                           7800       9009       1209          
        113 Popp                            6900       7969       1069          
        114 Raphaely                       11000      12705       1705          
        115 Khoo                            3100       3580        480          
        116 Baida                           2900       3349        449          
        117 Tobias                          2800       3234        434          
        118 Himuro                          2600       3003        403          
        119 Colmenares                      2500       2887        387          
        120 Weiss                           8000       9240       1240          
        121 Fripp                           8200       9471       1271          

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY   Increase          
----------- ------------------------- ---------- ---------- ----------          
        122 Kaufling                        7900       9124       1224          
        123 Vollman                         6500       7507       1007          
        124 Mourgos                         5800       6699        899          
        125 Nayer                           3200       3696        496          
        126 Mikkilineni                     2700       3118        418          
        127 Landry                          2400       2772        372          
        128 Markle                          2200       2541        341          
        129 Bissot                          3300       3811        511          
        130 Atkinson                        2800       3234        434          
        131 Marlow                          2500       2887        387          
        132 Olson                           2100       2425        325          

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY   Increase          
----------- ------------------------- ---------- ---------- ----------          
        133 Mallin                          3300       3811        511          
        134 Rogers                          2900       3349        449          
        135 Gee                             2400       2772        372          
        136 Philtanker                      2200       2541        341          
        137 Ladwig                          3600       4158        558          
        138 Stiles                          3200       3696        496          
        139 Seo                             2700       3118        418          
        140 Patel                           2500       2887        387          
        141 Rajs                            3500       4042        542          
        142 Davies                          3100       3580        480          
        143 Matos                           2600       3003        403          

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY   Increase          
----------- ------------------------- ---------- ---------- ----------          
        144 Vargas                          2500       2887        387          
        145 Russell                        14000      16170       2170          
        146 Partners                       13500      15592       2092          
        147 Errazuriz                      12000      13860       1860          
        148 Cambrault                      11000      12705       1705          
        149 Zlotkey                        10500      12127       1627          
        150 Tucker                         10000      11550       1550          
        151 Bernstein                       9500      10972       1472          
        152 Hall                            9000      10395       1395          
        153 Olsen                           8000       9240       1240          
        154 Cambrault                       7500       8662       1162          

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY   Increase          
----------- ------------------------- ---------- ---------- ----------          
        155 Tuvault                         7000       8085       1085          
        156 King                           10000      11550       1550          
        157 Sully                           9500      10972       1472          
        158 McEwen                          9000      10395       1395          
        159 Smith                           8000       9240       1240          
        160 Doran                           7500       8662       1162          
        161 Sewall                          7000       8085       1085          
        162 Vishney                        10500      12127       1627          
        163 Greene                          9500      10972       1472          
        164 Marvins                         7200       8316       1116          
        165 Lee                             6800       7854       1054          

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY   Increase          
----------- ------------------------- ---------- ---------- ----------          
        166 Ande                            6400       7392        992          
        167 Banda                           6200       7161        961          
        168 Ozer                           11500      13282       1782          
        169 Bloom                          10000      11550       1550          
        170 Fox                             9600      11088       1488          
        171 Smith                           7400       8547       1147          
        172 Bates                           7300       8431       1131          
        173 Kumar                           6100       7045        945          
        174 Abel                           11000      12705       1705          
        175 Hutton                          8800      10164       1364          
        176 Taylor                          8600       9933       1333          

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY   Increase          
----------- ------------------------- ---------- ---------- ----------          
        177 Livingston                      8400       9702       1302          
        178 Grant                           7000       8085       1085          
        179 Johnson                         6200       7161        961          
        180 Taylor                          3200       3696        496          
        181 Fleaur                          3100       3580        480          
        182 Sullivan                        2500       2887        387          
        183 Geoni                           2800       3234        434          
        184 Sarchand                        4200       4851        651          
        185 Bull                            4100       4735        635          
        186 Dellinger                       3400       3927        527          
        187 Cabrio                          3000       3465        465          

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY   Increase          
----------- ------------------------- ---------- ---------- ----------          
        188 Chung                           3800       4389        589          
        189 Dilly                           3600       4158        558          
        190 Gates                           2900       3349        449          
        191 Perkins                         2500       2887        387          
        192 Bell                            4000       4620        620          
        193 Everett                         3900       4504        604          
        194 McCain                          3200       3696        496          
        195 Jones                           2800       3234        434          
        196 Walsh                           3100       3580        480          
        197 Feeney                          3000       3465        465          
        198 OConnell                        2600       3003        403          

EMPLOYEE_ID LAST_NAME                     SALARY NEW SALARY   Increase          
----------- ------------------------- ---------- ---------- ----------          
        199 Grant                           2600       3003        403          
